All,Toate
"Something went wrong while unsubscribing you.","A avut loc o eroare la dezabonarea dumneavoastră."
Cancelled,Anulat
"There are no subscribers selected.","Nici un abonat nu este selectat."
"You selected an invalid queue.","Ați selectat un șir nevalid."
"We cannot mark as received subscriber.","Nu poate fi marcat ca abonat recepționat."
"Duplicate template code","Dublează cod șablon"
"Choose Store View:","Alegeți vizualizare magazin:"
"Newsletter Message Preview","Previzualizare mesaj Buletin informativ"
"Add to Queue","Adaugă la șir"
"Are you sure that you want to strip all tags?","Sunteți sigur că doriți să scoateți etichetele?"
"Please enter a new template name.","Introduceți un nume de șablon nou."
"Are you sure you want to delete this template?","Sunteți sigut că doriți să ștergeți acest șablon?"
"Sign Up for Our Newsletter:","Inscrieți-vă la Buletinele noastre informative"
"Enter your email address","Introduceți adresa dumneavoastră de email"
Subscribe,Abonare
"Thank you for subscribing to our newsletter.","Vă mulțumim pentru abonarea la Buletinul nostru informativ."
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","Pentru a începe primirea Buletinului informativ, trebuie ca întâi să confirmați abonarea, făcând click pe următorul link:"
"You have been successfully subscribed to our newsletter.","V-ați abonat cu succes la Buletinul nostru informativ."
"You have been unsubscribed from the newsletter.","V-ați dezabonat de la Buletinul informativ."
"General Options","Opțiuni generale"
"Subscription Options","Opțiuni abonare"
"Allow Guest Subscription","Permiteți abonare vizitator"
"Need to Confirm","Confirmare necesară"
"Confirmation Email Sender","Confirmare Email Expeditor"
"Confirmation Email Template","Confirmare Email șablon"
"Success Email Sender","Email de succes expeditor"
"Success Email Template","Email de succes șablon"
"Unsubscription Email Sender","Email dezabonare expeditor"
"Unsubscription Email Template","șablon Email de dezabonare"
"We found no problems.","Nu s-au găsit probleme."
Subscriber,abonat
"Queue Start Date","Dată de început șir"
"Queue Subject","Subiect șir"
"Error Code","Cod de eroare"
"Error Text","Text eroare"
"Queue Start","început șir"
"Queue End","Sfârșit șir"
Processed,Procesat
Recipients,Destinatari
Unsubscribe,Dezabonare
"Excel XML","XML Excel"
"Customer First Name","Prenume client"
"Customer Last Name","Nume client"
"Not Activated",Neactivat
Unsubscribed,Dezabonat
Unconfirmed,Neconfirmat
"Newsletter Subscriptions","Abonamente la newsletter"
"Shipping Price","Preț livrare"
"Export CSV","Exportă CSV"
"Sorry, but we can't deliver to the destination country with this shipping module.","Ne pare rău, dar nu putem livra în țara de destinație cu acest modul de livrare."
"Store Pickup","Ridicare de la magazin"
"Weight vs. Destination","Greutate vs. Destinație"
"Price vs. Destination","Preț vs. Destinație"
"# of Items vs. Destination","# de articole vs. Destinație"
"Weight (and above)","Greutate (și peste)"
"Order Subtotal (and above)","Subtotal comandă (și peste)"
"# of Items (and above)","# de articole (și peste)"
"Per Order","Pe comandă"
"Per Item","Pe articol"
"Something went wrong while importing table rates.","A avut loc o eroare la importarea tabelelor de rate."
"We couldn't import this file because of these errors: %1","Nu s-a putut importa acest fișier din cauza acestor erori: %1"
"Please correct %1 ""%2"" in the Row #%3.","Corectați %1 ""%2"" în rândul #%3."
"For matching items only","Numai pentru articolele care se potrivesc"
"For shipment with matching items","Pentru livrare cu articole care se potrivesc"
"Flat Rate","Taxă forfetară"
"Method Name","Nume modalitate"
"Calculate Handling Fee","Calculare taxă manipulare"
"Handling Fee","Taxă manipulare"
"Ship to Applicable Countries","Livrare în țările aplicabile"
"Ship to Specific Countries","Livrare în țări specifice"
"Show Method if Not Applicable","Afișați metoda dacă nu este aplicabilă"
"Displayed Error Message","Mesaj eroare afișat"
"Table Rates","Rate tabel"
Condition,Condiție
"Include Virtual Products in Price Calculation","Includeți produsele virtuale la calcularea prețului"
"Free Shipping","Livrare gratuită"
"Minimum Order Amount","Cantitate minimă comandă"
"Include Tax to Amount","Includeți taxele în sumă"
"We cannot retrieve the payment method model object.","Nu se poate recupera obiectul-model al modalității de plată."
"We cannot retrieve the payment info model object.","Nu se poate recupera obiectul-model al informațiilor de plată."
"Credit Card Type","Tip card de credit"
"Credit Card Number","Număr card de credit"
"Switch/Solo/Maestro Issue Number","Număr emitere card Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Dată începere card Switch/Solo/Maestro"
"We cannot retrieve the transparent payment method model object.","Nu se poate recupera modelul-obiect al modalității de plată transparente."
"All Allowed Countries","Toate țările acceptate"
"Specific Countries",#ERROR!
"The payment method you requested is not available.","Modalitatea de plată solicitată nu este disponibilă."
"The payment disallows storing objects.","Plata interzice stocarea obiectelor."
"We cannot retrieve the payment method code.","Nu se poate recupera codul modalității de plată."
"We cannot retrieve the payment information object instance.","Nu se poate recupera instanța-obiect a informațiilor de plată."
"You can't use the payment type you selected to make payments to the billing country.","Tipul de plată selectat nu poate fi folosit la efectuarea plăților în țara de facturare."
"The order action is not available.","Acțiunea de comandă nu este disponibilă."
"The authorize action is not available.","Acțiunea de autorizare nu este disponibilă."
"The capture action is not available.","Acțiunea de captare nu este disponibilă."
"The refund action is not available.","Acțiunea de restituire nu este disponibilă."
"The void action is not available.","Acțiunea de anulare nu este disponibilă."
"The payment review action is unavailable.","Acțiunea de revizuire plată nu este disponibilă."
"The credit card number doesn't match the credit card type.","Numărul cardului de credit nu coincide cu tipul cardului de credit."
"Invalid Credit Card Number","Număr card de credit nevalid."
"This credit card type is not allowed for this payment method.","Acet tip de card de credit nu este acceptat pentru această modalitate de plată."
"Please enter a valid credit card verification number.","Introduceți un număr de verificare card de credit valid."
"Please enter a valid credit card expiration date.","Introduceți o dată de expirare card de credit validă."
"%1 class doesn't implement \Magento\Payment\Model\MethodInterface","Clasa %1 nu implementează \Magento\Plată\Model\InterfațăModalitate"
"Expiration Date","Dată expirare"
"Card Verification Number","Număr verificare card"
"Please Select",Selectați
"We'll ask for your payment details before you place an order.","Vom solicita detaliile dumneavoastră de plată înainte ca dumneavoastră să plasați comanda."
"--Please Select--","-- Selectați --"
"Card Verification Number Visual Reference","Referință vizuală număr verificare card"
"Credit Card Information","Informații card de credit"
"Please enter a valid credit card number.","Introduceți un număr de card de credit valid."
"Payment Methods","Modalități de plată"
"Zero Subtotal Checkout","Checkout subtotal zero"
"New Order Status","Status comandă nou"
"Automatically Invoice All Items","Facturare automată pentru toate articolele"
"Payment from Applicable Countries","Plată din țările aplicabile"
"Payment from Specific Countries","Plată din țări specifice"
"Billing Agreements","Acorduri facturare"
"Reference ID","ID de referință"
Created,Creat
"Billing Agreement #%1","Acord facturare #%1"
"General Information","Informații generale"
"Related Orders","Comenzi asociate"
Order,Comandă
"Billing Agreement View","Vizualizare acord de facturare"
Authorize,Permiteți
"View Transaction Details","Vizualizare detalii tranzacție"
"Reference Information","Informații de referință"
"Transaction Information","Informații tranzacție"
"PayPal Fee Information","Informații taxă PayPal"
"PayPal Settlement Reports","Rapoarte acord PayPal"
"We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?","Vă conectăm la server-ul SFTP PayPal SFTP pentru a vă recupera rapoartele noi. Sunteți sigur că doriți să continuați?"
"Fetch Updates","Accesează actualizări"
button_label,etichetă_button
sandbox_button_label,Etichetă_button_sandbox
Help,Ajutor
Close,închideți
"View Demo","Vizualizare demo"
"See terms","Vedeți termeni"
"You will be redirected to the PayPal website.","Veți fi redirecționat la website-ul PayPal."
"You will be redirected to the PayPal website when you place an order.","Veți fi redirecționat la website-ul PayPal atunci când veți plasa o comandă."
"Billing Information","Informații facturare"
"Shipping Information","Informații livrare"
"Invalid block type","Tip bloc nevalid"
"Please specify the correct billing agreement ID and try again.","Specificați ID-ul acordului de facturare corect și încercați din nou."
"You canceled the billing agreement.","Ați anulat acordul de facturare."
"We can't cancel the billing agreement.","Acordul de facturare nu poate fi anulat."
"You deleted the billing agreement.","Ați șters acordul de facturare."
"We can't delete the billing agreement.","Acordul de facturare nu poate fi șters."
Reports,Rapoarte
"View Transaction","Vizualizare tranzacție"
"We found nothing to fetch because of an empty configuration.","Nu s-a găsit nimic de accesat din cauza unei configurații goale."
"We fetched %1 report rows from ""%2@%3.""","S-au accesat rândurile de raport %1 din ""%2@%3."""
"We can't fetch reports from ""%1@%2.""","Nu se pot accesa rapoartele din ""%1@%2."""
"The billing agreement ""%1"" has been canceled.","Acordul de facturare ""%1"" a fost anulat."
"The billing agreement ""%1"" has been created.","Acordul de facturare ""%1"" a fost creat."
"We couldn't finish the billing agreement wizard.","Expertiza acordului de facturare nu a fost finalizată."
"We can't start the billing agreement wizard.","Nu se poate începe expertiza acordului de facturare."
"Billing Agreement # %1","Acord de facturare # %1"
"We can't initialize Express Checkout.","Checkout expres nu poate fi inițializat."
"PayPal can't process orders with a zero balance due. To finish your purchase, please go through the standard checkout process.","PayPal nu poate procesa comenzile cu sold debitor zero. Pentru a finaliza achiziția, parcurgeți procesul standard de checkout."
"PayPal Express Checkout Token does not exist.","Simbolul Checkout Expres PayPal nu există."
"A wrong PayPal Express Checkout Token is specified.","Un simbol greșit Checkout Expres PayPal este specificat."
"Express Checkout and Order have been canceled.","Checkout-ul Expres și Comanda au fost anulate."
"Express Checkout has been canceled.","Checkout-ul Expres a fost anulat."
"Unable to cancel Express Checkout","Imposibil de anulat Checkout Expres."
"We can't process Express Checkout approval.","Nu se poate procesa aprobarea Checkout Expres."
"We can't initialize Express Checkout review.","Nu se poate inițializa revizuirea Checkout Expres."
"We can't update shipping method.","Metoda de livrare nu poate fi actualizată."
"We can't start Express Checkout.","Nu se poate începe Checkout Expres."
"To check out, please sign in with your email address.","Pentru check out, conectați-vă cu adresa dumneavoastră de email."
"Your payment has been declined. Please try again.","Plata dumneavoastră a fost refuzată. Incercați din nou."
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","Doriți să semnați un acord de facturare la direcția de viitoare achiziții cu PayPal?"
"PayPal response hasn't required fields.","Răspunsul Paypal nu are câmpuri obligatorii."
"Something went wrong while processing your order.","A avut loc o eroare la procesarea comenzii dumneavoastră."
"PayPal gateway has rejected request. %1","Gateway-ul PayPal a refuzat solicitarea. %1"
"The PayPal gateway rejected the request. %1","Gateway-ul PayPal a refuzat solicitarea. %1"
"I'm sorry - but we were not able to process your payment. Please try another payment method or contact us so we can assist you.","Ne pare rău - dar comanda dumneavoastră nu s-a putut procesa. încercați o altă modalitate de plată sau contactați-ne pentru asistență."
"I'm sorry - but we are not able to complete your transaction. Please contact us so we can assist you.","Ne pare rău - dar tranzacția dumneavoastră nu s-a putut finaliza. Contactați-ne pentru asistență."
"We can't place the order.","Nu se poate plasa comanda."
"The payment method code is not set.","Codul modalității de plată nu este setat."
"The reference ID is not set.","ID-ul de referință nu este setat"
"Unable to save Billing Agreement:","Imposibil de salcat Acordul de Facturare:"
"The customer ID is not set.","ID-ul de client nu este setat."
"The Billing Agreement status is not set.","Statusul Acordului de facturare nu este setat."
"The PayPal certificate does not exist.","Certificatul PayPal nu există."
"We prefer PayPal (150 X 60)","Preferăm PayPal (150 X 60)"
"We prefer PayPal (150 X 40)","Preferăm PayPal (150 X 40)"
"Now accepting PayPal (150 X 60)","Nu se acceptă PayPal (150 X 60)"
"Now accepting PayPal (150 X 40)","Nu se acceptă PayPal (150 X 40)"
"Payments by PayPal (150 X 60)","Plăți prin PayPal (150 X 60)"
"Payments by PayPal (150 X 40)","Plăți prin PayPal (150 X 40)"
"Shop now using (150 X 60)","Cumpărați acum folosind (150 X 60)"
"Shop now using (150 X 40)","Cumpărați acum folosind (150 X 40)"
Shortcut,Scurtătură
"Acceptance Mark Image","Imagine marcă de accept"
Authorization,Autorizație
Sale,Vânzare
"For Virtual Quotes Only","Doar pentru mențiuni virtuale"
"Ask Customer","întreabă client"
"IPN (Instant Payment Notification) Only","Doar NPI (Notificare Plată Instant)"
"API Signature","Semnătură API"
"API Certificate","Certificat API"
"The maximum number of child authorizations is reached.","S-a atins numărul maxim de autorizații secundare."
"We'll authorize the amount of %1 as soon as the payment gateway approves it.","Vom autoriza cantitatea de %1 de îndată ce este aprobată de gateway-ul de plată."
"The authorized amount is %1.","Cantitatea autorizată este de %1."
"A payer is not identified.","Un plătitor nu este identificat."
"Cannot get secure form URL from PayPal","Nu se poate obține un formular URL sigur de la PayPal"
"Last Transaction ID","Ultimul ID de tranzacție"
"This customer didn't include a confirmed address.","Clintul nu a inclus o adresă confimată."
"The payment is authorized but not settled.","Plata este autorizată dar nu este stabilită."
"The payment eCheck is not cleared.","Plata eCheck nu este eliminată."
"The merchant holds a non-U.S. account and doesn't have a withdrawal mechanism.","Comerciantul deține un cont non SUA și nu are un mecanism de retragere."
"The payment currency doesn't match any of the merchant's balances currency.","Moneda de plată nu coincide cu moneda de bilanț a comerciantului."
"The payment is pending while it is being reviewed by PayPal for risk.","Plata este în așteptare în timp ce este revizuită pentru risc de către PayPal."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","Plata este în așteptare deoarece este făcută de o adresă de email care nu este încă înregistrată sau confirmată."
"The merchant account is not yet verified.","Contul comerciantului nu este încă verificat."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","Plata s-a realizat prin card de credit. Pentru a primi fonfurile, comerciantul trebuie să-și actualizeze contul la statusul Business sau Premier."
"Sorry, but something went wrong. Please contact PayPal customer service.","Ne pare rău, dar a avut loc o eroare. Contactați Serviciul de relații clienți PayPal."
"A reversal has occurred on this transaction due to a chargeback by your customer.","A avut loc o inversare la această tranzacție din cauza unei stornări efectuate de clientul dumneavoastră."
"A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.","A avut loc o inversare la această tranzacție din cauza declanșării unei garanții banii-înapoi de către clientul dumneavoastră."
"A reversal has occurred on this transaction due to a complaint about the transaction from your customer.","A avut loc o inversare la această tranzacție din cauza unei plângeri asupra tranzacției de către clientul dumneavoastră."
"A reversal has occurred on this transaction because you have given the customer a refund.","A avut loc o inversare la această tranzacție deoarece i-ați făcut clientului o restituire."
"Reversal of an adjustment.","Inversarea unei ajustări."
"Transaction reversal due to fraud detected by PayPal administrators.","Inversare tranzacție din cauza unei fraude detectate de către administratorii PayPal."
"Transaction reversal by PayPal administrators.","Inversare tranzacție de către administratorii PayPal."
"Reimbursement for a chargeback.","Despăgubire pentru stornare."
"Settlement of a chargeback.","Stabilire stornare."
"A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.","A avut loc o inversare la această tranzacție din cauza unei contestații a clientului care suspectează o imitare neautorizată."
"Buyer claims that he did not receive goods or service.","Cumpărătorul pretinde că nu a primit bunuri sau servicii."
"Buyer claims that he/she did not authorize transaction.","Cumpărătorul pretinde că el/ea nu a autorizat tranzacția."
"A case that has been resolved and close requires a reimbursement.","Un caz care a fost rezolvat și închis necesită o despăgubire."
"Buyer claims that a possible duplicate payment was made to the merchant.","Cumpărătorul pretinde că o posibilă plată dublată a fost făcută comerciantului."
"Buyer claims that the received merchandise is unsatisfactory, defective, or damaged.","Cumpărătorul pretinde că marfa primită este nesatisfăcătoare, defectă sau deteriorată."
"Unknown reason. Please contact PayPal customer service.","Motiv necunoscut. Contactați serviciul de relații clienți PayPal."
"Payer ID","ID plătitor"
"Payer Email","Email plătitor"
"Payer Status","Status plătitor"
"Payer Address ID","ID adresă plătitor"
"Payer Address Status","Status adresă plătitor"
"Merchant Protection Eligibility","Eligibilitate protecție comerciant"
"Triggered Fraud Filters","Filtre de fraudă declanșate"
"Last Correlation ID","Ultumul ID de corelație"
"Address Verification System Response","Răspuns sistem pentru verificare adresă"
"CVV2 Check Result by PayPal","Verifică rezultatul CVV2 prin PayPal"
"AVS Street Match","Potrivire stradă AVS"
"AVS zip","Cod AVS"
"International AVS response","Răspuns AVS Internațional"
"Buyer's Tax ID","ID taxe cumpărător"
"Buyer's Tax ID Type","Tip ID taxe cumpărător"
Chargeback,Stornare
Complaint,Plângere
Dispute,Contestație
"Matched Address only (no ZIP)","Numai adrese potrivite (fără cod poștal)"
"Matched Address only (no ZIP) International","Numai adrese potrivite (fără cod poștal) Internațional"
"No Details matched","Nici un detaliu potrivit"
"No Details matched. International","Nici un detaliu nu se potrivește. Internațional"
"Exact Match.","Potrivire exactă."
"Exact Match. Address and Postal Code. International","Potrivire exactă. Adresă și Cod Poștal. Internațional"
"Exact Match. Address and Postal Code. UK-specific","Potrivire exactă. Adresă și Cod Poștal. Specific UK"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","N/A. Nu este permis pentru tranzacții MOTO (Internet/Telefon)"
"N/A. Global Unavailable","N/A. Nu este disponibil la nivel global"
"N/A. International Unavailable","N/A. Nu este disponibil la nivel internațional"
"Matched five-digit ZIP only (no Address)","Numai cod poștal de cinci cifre potrivit (fără adresă)"
"Matched Postal Code only (no Address)","Doar codul poștal potrivit (fără adresă)"
"N/A. Retry","N/A. Reîncercați"
"N/A. Service not Supported","N/A. Serviciu neacceptat"
"N/A. Unavailable","N/A. Indisponibil"
"All the address information matched","Toate informațiile de adresă coincid"
"None of the address information matched","Nici o informație de adresă nu coincide"
"Part of the address information matched","O parte din informațiile de adresă coincid"
"N/A. The merchant did not provide AVS information","N/A. Comerciantul nu a furnizat infirmații AVS"
"N/A. Address not checked, or acquirer had no response. Service not available","N/A. Adresa neverificată sau achizitorul nu a avut nici un răspuns. Serviciu indisponibil."
"Matched (CVV2CSC)","Potrivit (CVV2CSC)"
"No match","Nu coincide"
"N/A. Not processed","N/A. Neprocesat"
"N/A. Service not supported","N/A. Serviciu neacceptat"
"N/A. Service not available","N/A. Serviciu indisponibil"
"N/A. No response","N/A. Nici un răspuns"
"Matched (CVV2)","Portivit (CVV2)"
"N/A. The merchant has not implemented CVV2 code handling","N/A. Comerciantul nu a implementat manipularea de cod CVV2"
"N/A. Merchant has indicated that CVV2 is not present on card","N/A. Comerciantul a indicat că CVV2 nu este pe card"
"Credit Card","Card de credit"
"Note: %1","Notă: %1"
"IPN ""%1"". Case type ""%2"". Case ID ""%3"" %4","IPN ""%1"". Tip caz ""%2"". ID caz ""%3"" %4"
"IPN ""%1"". A dispute has been resolved and closed. %2 Transaction amount %3.","IPN ""%1"". O contestașie a fost rezolvată sau închisă. %2 Sumă tranzacție %3."
"You notified customer about invoice #%1.","Ați informat clientul asupra facturii #%1."
"We cannot cancel this order.","Nu se poate anula comanda."
"IPN ""%1"". %2 Transaction amount %3. Transaction ID: ""%4""","IPN ""%1"". %2 Sumă tranzacție %3. ID tranzacție: ""%4"""
"You notified customer about creditmemo #%1.","Ați informat clientul asupra notei de credit #%1."
"Payflow PNREF: #%1.","Debit plată PNREF: #%1."
"Unable to fetch transaction details.","Imposibil de accesat detaliile tranzacției."
"Transaction has been declined","Tranzacția a fost refuzată"
"We cannot send the new order email.","Nu putem trimite email-ul pentru noua comandă."
"You need an authorization transaction to void.","Aveți nevoie de o tranzacție de autorizare pentru anulare."
"We can't issue a refund transaction because there is no capture transaction.","Nu se poate emite o tranzacție de restituire deoarece nu există nici o tranzacție captată."
"We cannot create a target file for reading reports.","Nu se poate crea un fișier-țintă pentru citirea rapoartelor."
"Report Date","Dată aport"
"Merchant Account","Cont comerciant"
"Transaction ID","ID tranzacție"
"Invoice ID","ID factură"
"PayPal Reference ID","ID de referință PayPal"
"PayPal Reference ID Type","Tip ID de referință PayPal"
"Event Code","Cod eveniment"
Event,Eveniment
"Start Date","Dată de început"
"Finish Date","Dată de sfârșit"
"Debit or Credit","Debit sau Credit"
"Gross Amount","Sumă brută"
"Fee Debit or Credit","Taxă de Debit sau Credit"
"Fee Amount","Sumă taxă"
Custom,Presonalizat
"Order ID","ID comandă"
"Preapproved Payment ID","ID plată pre-aprobat"
"Subscription ID","ID abonare"
"ACH Deposit (Hold for Dispute or Other Investigation)","Depozit ACH (Păstrați pentru Contestații sau Alte Investigații)"
"ACH Deposit (Reversal)","Depozit ACH (Inversare)"
"ACH Funding for Funds Recovery from Account Balance","Finanțare ACH pentru recuperarea fondurilor din bilanțul contului"
"ACH Withdrawal","Retragere ACH"
"Account-to-Account Payment, initiated by PayPal","Plată Cont-la-Cont, initiațiată de PayPal"
"Auction Payment other than through eBay","Licitație de plată, altfel decât prin eBay"
"Available Balance","Bilanț disponibil"
"Balance Manager Account Bonus","Bilanț bonus cont manager"
"Bonus for first ACH Use","Bonus pentru prima folosire ACH"
"Buyer Credit Payment","Plată credit cumpărător"
"Coupon Redemption","Răscumpărare cupon"
"Currency Conversion required to cover negative balance","Conversie monedă necesară pentru acoperirea bilanțului negativ"
"Debit Card Cash Back","Stornare card debit"
"Debit Card Transaction","Tranzacție card debit"
"Direct Payment API","Plată directă API"
"EFT Funding (German banking)","Finanțare EFT (bancă Germană)"
"Express Checkout APIs","Checkout Expres API-uri"
"Fee Reversal","Inversare taxă"
"Fee: Foreign ACH Withdrawal","Taxă: Retragere ACH externă"
"Fee: Mass Pay Request","Taxă: Solicitare plată în masă"
"Fee: Web Site Payments Pro Account Monthly","Taxă: Plăți Web Site Pro Cont Lunare"
"Fee: WorldLink Check Withdrawal","Taxă: Retragere cec Wordlink"
Funding,Finanțare
"General (Authorization)","General (Authorizare)"
"General (Dividend)","General (Divident)"
"General (Funds Transfer from PayPal Account to Another)","General (Transfer de fonduri de la PayPal către Altele)"
"General (Purchase with a credit card)","General (Achiziție cu card de credit)"
"General Adjustment without businessrelated event","Ajustare Genrală fără eveniment legat de afaceri"
"General Currency Conversion","Conversie generală monedă"
"General Redemption","Răscumpărare generală"
"General Withdrawal from PayPal Account","Retragere generală din contul PayPal"
"General. Product no longer supported","General. Produsul nu mai este acceptat"
"General: Use of PayPal account for purchasing as well as receiving payments","General: folosirea contului PayPal pentru achiziționare, precum și pentru primirea plăților"
"General: Withdrawal from PayPal Account","General: Retragere din contul PayPal"
"General: Withdrawal to Non-Bank Entity","General: Retragere într-o entitate non bancară"
"General: adjustment of a type not belonging to the other T12xx categories","General: ajustarea unui tip care nu apar'ine celorlalte categorii T12xx"
"General: bonus of a type not belonging to the other T08xx categories","General: bonusul unui tip care nu apar'ine celorlalte categorii T08xx"
"General: event not yet categorized","General: eveniment încă neclasificat"
"General: non-payment fee of a type not belonging to the other T01xx categories","General: taxă non plată pentru un tip care nu aparține celorlalte categorii T01xx"
"General: received payment of a type not belonging to the other T00xx categories","General: plată primită pnetru un tip care nu aparține celorlalte categorii T00xx"
"General: reversal of a type not belonging to the other T11xx categories","General: inversarea unui tip care nu aparține celorlalte categorii T11xx"
"General: temporary hold of a type not belonging to the other T15xx categories","General: reținere temporară a unui tip care nu aparține celorlalte categorii T15xx"
"Gift Certificate Payment: purchase of Gift Certificate","Plată certificat cadou: achiziționate certificat cadou"
"Gift Certificate Redemption","Răscumpărare certificat cadou"
"Hidden Virtual PayPal Debit Card Transaction","Tranzacție virtuală ascunsă prin cardul de debit PayPal"
"Hold for Dispute Investigation","Reținere pentru investigații contestație"
Incentive,Stimulent
"Mass Pay Payment","Plată în masă"
"Merchant Referral Bonus","Bonus sesizare comerciant"
"Mobile Payment (made via a mobile phone)","Plată telefonică (prin telefonul mobil)"
"Negative Balance","Bilanț negativ"
"Open Authorization","Autorizație deschisă"
"PayPal Balance Manager function of PayPal account","Funcție manager bilanț PayPal a contului PayPal"
"PayPal Buyer Warranty Bonus","Bonus PayPal pentru certificatul de garanție al clientului"
"PayPal Debit Card Cash Advance","Avans card de debit PayPal"
"PayPal Debit Card Withdrawal from ATM","Retragere ATM card de debit PayPal"
"PayPal Protection Bonus","Bonus Protecție PayPal"
"Payment Refund initiated by merchant","Restituire plată inițiată de comerciant"
"Points Incentive Redemption","Răscumpărare puncte stimulent"
"Postage Payment to either USPS or UPS","Plată expediere prin poștă către USPS sau UPS"
"Preapproved Payment (BillUser API, either sent or received","Plată pre-aprobată (BillUser API, trimis sau primit)"
Reauthorization,Reautorizare
"Reimbursement of Chargeback","Despăgubire stornare"
Reversal,Inversare
"Reversal of General Account Hold","Inversare a reținerii generale a contului"
"Reversal of Points Usage","Inversare utilizare puncte"
"Reversal of hold for Dispute Investigation","Inversarea reținerii pentru investigații ale contestațiilor"
"Reward Voucher Redemption","Răscumpărare bon răsplată"
"Settlement Consolidation","Consolidare acord"
"Subscription Payment, either payment sent or payment received","Plată abonare, plată trimisă sau plată primită"
"User-initiated Currency Conversion","Conversie monedă inițiată de utilizator"
"Virtual PayPal Debit Card Transaction","Tranzacție virtuală card de debit PayPal"
"Virtual Terminal Payment","Plată terminal virtuală"
Void,Anulare
"WorldLink Withdrawal","Retragere WorldLink"
"eBay Auction Payment","Paltă licitație eBay"
"The PayPal certificate file is empty.","Fișierul certificatului PayPal este gol."
"Header (center)","Antet (centru)"
"Sidebar (right)","Bară laterală (dreapta)"
"Near PayPal Credit checkout button","Butonul apropiat de checkout credit PayPal."
Daily,Zilnic
"Every 3 days","La fiecare 3 zile"
"Every 7 days","La fiecare 7 zile"
"Every 10 days","La fiecare 10 zile"
"Every 14 days","La fiecare 14 zile"
"Every 30 days","La fiecare 30 zile"
"Every 40 days","La fiecare 40 zile"
"No Logo","Fără logo"
"Yes (PayPal recommends this option)","Da (PayPal recomandă această opțiune)"
"Created billing agreement #%1.","Se creează acordul de facturare #%1."
"We can't create a billing agreement for this order.","Nu se poate crea un acord de facturare pentru această comandă."
"Pending PayPal","PayPal în așteptare"
"PayPal Reversed","PayPal inversat"
"PayPal Canceled Reversal","Inversare PayPal anulată"
"Billing Agreement","Acord de facturare"
Customer,Client
"Created At","Creat la"
"Updated At","Actualizat la"
here,aici
"To use PayPal Payments Advanced, you must configure your PayPal Payments Advanced account on the PayPal website.","Pentru folosirea plăților avansate PayPal, trebuie să vă configurați contul de plăți avansate PayPal pe website-ul PayPal."
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Odată conectat la contul avansat PayPal, mergeți la Setări Servicii - Pagini checkout găzduite - Setare meniu și setați opțiunile descrise mai jos"
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","Pentru a folosi link-ul pentru debitul de plată PayPal, trebuie să vă configurați contul link al debitului de plată PayPal pe website-ul PayPal."
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Odată conectat la contul Link Paltă Debit PayPal, mergeți la Setări Servicii - Pagini Checkout Găzduite - Setare meniu și setați opțiunile descrise mai jos"
"Agreement Information","Informații acord"
"Reference ID:","ID referință:"
Created:,Creat:
Updated:,Actualizat:
Date,Dată
"Ship To","Adresă livrare"
"Order Status","Status comandă"
"View Order","Vizualizare Comandă"
"Back to Billing Agreements","înapoi la acordurile de facturare"
"Payment Method","Modalitate plată"
View,Vizualizare
"There are no billing agreements yet.","Nu există încă acorduri de facturare"
"New Billing Agreement","Acord de facturare nou"
"You will be redirected to the payment system website.","Veți fi redirecționat la website-ul de plăți sistem"
Create...,Creați...
"Your credit card will be charged for","Din cardul dumneavoastră de credit se va retrage suma"
"Shipping Method","Modalitate livrare"
"Please select a shipping method...","Selectați o modalitate de livrare..."
"Sorry, no quotes are available for this order right now.","Ne pare rău, momentan, nici o mențiune nu este disponibilă pentru această comandă."
"Shipping Address","adresa de livrare"
"Buy now with PayPal","Cumpărați acum cu PayPal"
"Edit Payment Information","Modificați Informații plată"
"Items in Your Shopping Cart","Articole în coșul dumneavoastră de cumpărături"
"Edit Shopping Cart","Editare coș de cumpărături"
"Place Order","Plasează comandă"
"Submitting order information...","Se trimit informațiile comenzii..."
"Please update order data to get shipping methods and rates","Actualizați informațiile comenzii pentru a obține modalitățile de plată și ratele"
"Checkout with PayPal","Checkout cu PayPal"
"Please do not refresh the page until you complete payment.","Nu reîmprospătați pagina înainte de a finaliza plata."
"You will be required to enter your payment details after you place an order.","Vi se vor solicita detaliile de plată după ce veți plasa o comandă"
Continue,Continuați
"Additional Options","Opțiuni suplimentare"
"-- Please Select Billing Agreement--","-- Selectați Acordul de Facturare --"
